objectid,equipamien,x,y,identifica,idclase,usuario,estado,codvia,numportal,idsubclase,telefono,globalid,created_user,created_date,last_edited_user,last_edited_date
24081,ASOCIACIÓN DROGALCOHOL,,,001320,3,Test Admin,3,2400,126,,963601506,{8E63FD54-C209-4F7F-9CBA-AE38B07FD1C5},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24082,AVAPE- ASOCIACIÓN VALENCIANA DE AYUDA A PERSONAS EXCLUIDAS,,,001484,3,Test Admin,3,69030,10,,963912963,{A432942E-673A-4BB4-8ABF-E9A0B139A58F},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24083,CENTRO DE DIA ALTERNATIVA,,,003839,3,Test Admin,3,69030,10,,963912963,{BB4A9AEE-F5C2-4B3D-AD00-2CFD819A5EF2},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24084,GRUPO DE FAMILIARES Y AMIGOS - ALANÓN,,,005359,3,Test Admin,3,27870,1,,606201163,{F3DFA56F-0A88-46D3-8A27-8B09DE9F0257},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24085,ASOCIACIÓN GAM-ANON ESPAÑA - GRUPOS DE FAMILIA,,,001946,3,Test Admin,3,35100,42,,647843794,{FDB8DA09-7D6C-435C-B88D-9657E3611E55},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24086,CONTROLACLUB,,,003905,3,Test Admin,3,81164,5,,963934085,{4E61B215-2DAD-42CF-B6B1-950607DBB784},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24087,ASOCIACIÓN BETEL ESPAÑA,725010.106,4370821.729,001316,3,Test Admin,3,28290,6,No Tiene,963410433,{C9DF7977-D4E4-4288-937B-EA64F191A173},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24089,FISAT. FUNDACIÓN INICIATIVA SOLIDARIA ANGEL TOMÁS,725780.939,4373610.731,001317,3,Test Admin,3,66330,192,No Tiene,963667878,{F0A2CEC1-6F59-4C3F-9607-F5460250BBF2},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24090,PISO MARTES-ACOGIDA,725782.072,4374519.417,005362,3,Test Admin,3,0,S/N,No Tiene,963667537,{D31B757D-152E-4FBA-8482-8CB3F0F63A12},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24091,ASOCIACIÓN DE JUGADORES ANÓNIMOS,724759.114,4374255.821,001487,3,Test Admin,3,0,40,No Tiene,625769840,{FE21D0C9-0A12-45BD-9EA4-E2470686E09E},ADM_GIS,20220908104230,ADM_GIS,20230108095318
24092,DIRECCIÓN GENERAL DE DROGODEPENDENCIAS,,,003840,3,Test Admin,3,48120,31-33,,963866000,{54565CAD-44E0-4EBB-B31B-D0BA2245BEBA},ADM_GIS,20220908104230,ADM_GIS,20230108095318
